symbol,name,number,profit_rate,trade_count,failed_trades,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
159845,中证1000ETF,48,12.195356508643542,9,"{'无持仓': 13, '卖出价格超范围': 121, '现金不足': 5, '买入价格超范围': 0}",0.02,0.0245,0.0035,0.0045000000000000005,22000
159845,中证1000ETF,49,3.7095431627508955,4,"{'无持仓': 196, '卖出价格超范围': 0, '现金不足': 6, '买入价格超范围': 0}",0.008,0.0225,0.001,0.001,28000
159845,中证1000ETF,50,2.9181141084171975,6,"{'无持仓': 188, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",0.007500000000000001,0.0285,0.002,0.008,16000
159845,中证1000ETF,51,7.777673947216914,6,"{'无持仓': 190, '卖出价格超范围': 0, '现金不足': 2, '买入价格超范围': 0}",0.003,0.0285,0.001,0.004,42000
159845,中证1000ETF,52,4.154610119999997,2,"{'无持仓': 190, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",0.029,0.026,0.003,0.0035,37000
159845,中证1000ETF,53,1.0411944000000222,2,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 16, '买入价格超范围': 0}",0.0115,0.007500000000000001,0.002,0.002,30000
159845,中证1000ETF,54,9.920073941395879,14,"{'无持仓': 3, '卖出价格超范围': 341, '现金不足': 19, '买入价格超范围': 0}",0.0185,0.0055,0.004,0.0015,7000
159845,中证1000ETF,55,4.925153267428133,4,"{'无持仓': 187, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",0.017,0.027,0.004,0.006,31000
159845,中证1000ETF,56,1.5390791350000073,2,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",0.0125,0.011,0.003,0.003,38000
159845,中证1000ETF,57,2.330311409999995,2,"{'无持仓': 195, '卖出价格超范围': 0, '现金不足': 12, '买入价格超范围': 0}",0.028,0.017,0.0045000000000000005,0.0045000000000000005,28000
159845,中证1000ETF,58,3.581414935201537,4,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",0.022,0.0245,0.006,0.003,17000
159845,中证1000ETF,59,1.1139780000000028,2,"{'无持仓': 195, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",0.0055,0.0185,0.001,0.003,24000
159845,中证1000ETF,60,2.2925583900000057,2,"{'无持仓': 195, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",0.010499999999999999,0.019,0.001,0.001,36000
159845,中证1000ETF,61,8.985465827524502,18,"{'无持仓': 6, '卖出价格超范围': 393, '现金不足': 15, '买入价格超范围': 0}",0.0125,0.006,0.0025,0.0015,10000
159845,中证1000ETF,62,6.379796581758361,5,"{'无持仓': 9, '卖出价格超范围': 140, '现金不足': 26, '买入价格超范围': 0}",0.02,0.005,0.001,0.0015,24000
159845,中证1000ETF,63,9.351820737519782,9,"{'无持仓': 7, '卖出价格超范围': 131, '现金不足': 1, '买入价格超范围': 0}",0.0205,0.0225,0.006,0.004,14000
159845,中证1000ETF,64,10.016954866081914,23,"{'无持仓': 3, '卖出价格超范围': 252, '现金不足': 0, '买入价格超范围': 0}",0.0245,0.01,0.0035,0.001,2000
159845,中证1000ETF,65,8.670204149517973,7,"{'无持仓': 7, '卖出价格超范围': 183, '现金不足': 0, '买入价格超范围': 0}",0.029,0.0255,0.0065,0.0035,8000
159845,中证1000ETF,66,0.8733256474999944,2,"{'无持仓': 185, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",0.007,0.009500000000000001,0.0015,0.002,29000
