number,profit_rate,trade_count,failed_trades,start_date,end_date,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
26,3.7366790127644682,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0085,0.013999999999999999,0.0045000000000000005,0.003,39000
27,4.062675962448568,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 48, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0115,0.0155,0.0025,0.002,46000
28,2.499041883875951,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 9, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0165,0.0185,0.006,0.0055000000000000005,32000
29,2.3349190905296995,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.005,0.023,0.008,0.0035,40000
30,4.7516898279496,8,"{'无持仓': 83, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.008,0.027,0.0045000000000000005,0.0045000000000000005,50000
31,3.8118562008072185,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007,0.0275,0.0045000000000000005,0.0045000000000000005,49000
32,4.021923203092504,7,"{'无持仓': 136, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007500000000000001,0.028,0.004,0.0055000000000000005,50000
33,1.7326410925783495,5,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.003,0.0295,0.007500000000000001,0.0035,46000
34,4.734904088451077,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.012,0.024,0.005,0.0045000000000000005,35000
35,4.009610773533421,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.011,0.024,0.006,0.007,35000
36,3.8423857997335666,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.014499999999999999,0.026,0.009000000000000001,0.0045000000000000005,27000
37,-1.6768571887435708,21,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 168, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.012,0.003,0.005,0.006,30000
38,5.89936653766199,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009000000000000001,0.028,0.003,0.004,37000
39,3.6362932795448,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 1, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009000000000000001,0.028,0.002,0.005,35000
40,3.7331122181623315,12,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0155,0.0295,0.003,0.0065,24000
41,3.4816348808619626,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007,0.024999999999999998,0.005,0.004,37000
42,6.646719941734401,12,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 4, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.024,0.004,0.003,40000
43,5.026493869884856,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.027,0.003,0.003,21000
44,4.782397374052557,13,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.009500000000000001,0.0265,0.003,0.0025,20000
